Date,iShares MSCI UK ETF,FTSE All-Share Index,FTSE 250 Index,FTSE 100 Index,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_YoY,Is_Holiday
2011-02-09,-0.00435247450372378,-0.005921210293992618,-0.0028655078504712383,-0.006402574368443936,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-10,-0.004371501351900897,-0.0054531788954207405,-0.006357764312047709,-0.005336782005161744,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-11,0.0016464278839685154,0.006911496161305042,0.0065008358800751065,0.007126229625207703,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-14,0.001643627088350641,6.0493704733044495e-05,0.003059942237972013,-0.00046179299223092496,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-15,-0.0021881897959973307,-0.004147489484516154,-0.007115168501773517,-0.0037953168478017663,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-16,0.007127425332038584,0.007406465940050344,0.004902219496458304,0.007983917154191777,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-17,0.005988015517152778,0.0005516370858020814,0.0017362140657986025,0.00034510997381476116,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-18,0.002705844562644222,-0.0005924875915275241,4.227328905259675e-05,-0.0007227884506250115,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-21,0.0,-0.010684567473791318,-0.008504993197342992,-0.011211605344813469,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-22,-0.028062945142944273,-0.0035283970356989602,-0.006420679539335117,-0.002992618305595496,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-23,-0.0016656259497799253,-0.01193799244523086,-0.011199409188255682,-0.012223153527687214,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-24,-0.0033370016685008164,-0.001936662836941272,-0.009737993864605277,-0.0005908668861315247,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-25,0.016741161464224774,0.014007001948382891,0.017467575946419567,0.013716249208192588,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-02-28,0.007683645732348809,-0.0008651359931278746,0.001059505959815743,-0.0011997925545166321,92.3,91.20589,416521.0,0.03707865168539315,-0.06981751752979881,0.01938820212482173,False
2011-03-01,-0.02124167453974779,-0.00866553101437284,-0.004061524623386936,-0.00970974229437771,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-02,0.00834714604404807,-0.0034483914945013794,-0.0026524066481278252,-0.003520991783996008,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-03,0.0165562863467712,0.014232441116658778,0.009442624903535757,0.015249657103539205,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-04,-0.005429036113593466,-0.0011115554788304616,0.0060588039380968794,-0.002447951753250077,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-07,-0.010916872049152038,-0.0020712135318446956,0.0021240630064829347,-0.002771116774650584,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-08,0.002207701602599643,9.984931330198066e-05,-0.00037456826144965927,0.00016739764181838979,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-09,-0.0011014666938605755,-0.005513743841666918,-0.0011325247743432243,-0.006276360920173363,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-10,-0.028114805904323248,-0.01575820203542022,-0.01829470787917642,-0.015495259297394037,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-11,0.002836204748052351,-0.0036708828099397683,-0.009213554914554556,-0.0028398217250872326,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-14,-0.0016969100644496082,-0.00868405327458499,-0.005241229211402798,-0.009178718789315199,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-15,-0.01926335984593064,-0.014556834905674165,-0.01748944875935854,-0.013835085871110042,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-16,-0.03235132346549763,-0.015820511151903638,-0.010590840794620915,-0.01704907778429543,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-17,0.028656687949191406,0.017315530559785186,0.018426443016725136,0.017487745869775084,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-18,0.012768410658871465,0.004642045571708442,0.009736161961065193,0.003862291677256824,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-21,0.017765164104838416,0.012136670610554345,0.014578116437121036,0.011892061845484747,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-22,-0.0016891691716038881,-0.0041565222949589975,-0.006046336155793974,-0.004044157886799904,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-23,0.0016920272919429546,0.005178138302478041,0.0005069904076391296,0.005761137297799257,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-24,0.00900903176123724,0.014282689324785602,0.013810961788711218,0.014665539680150053,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-25,-0.006696541599480188,0.0032921517422614954,0.0020507349694109944,0.0033838192579709325,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-28,-0.0016853734396000686,0.0007795254522346973,0.0006965669536040942,0.0006270667426406806,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-29,0.005064559075908415,0.003865468426358376,-8.592984398869685e-05,0.004691370194343403,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-30,0.008958881062790969,0.002850584749153562,0.0034374891424522325,0.002713935613252172,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-03-31,-0.006104510958461651,-0.006840752322306187,-0.007228288496578528,-0.006640552981016956,92.6,90.67931,416521.0,0.03579418344519003,-0.08598720432826856,0.01938820212482173,False
2011-04-01,0.013400273859867529,0.016005351829807335,0.010067304633583518,0.01711009020411325,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-04,0.007162482381787516,0.001706805980886239,0.004944990741643451,0.0011814003180787847,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-05,0.007111640429842803,-0.0017680187383399826,-0.002456054852030043,-0.001645321978352987,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-06,0.008147931724280966,0.005454609831520685,0.003723062830481183,0.0056599689446270585,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-07,-0.004849080389610627,-0.006101509674689032,-0.010355305477698695,-0.005578486495460444,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-08,0.0037899155574647736,0.007615955841769884,0.005729265866983413,0.008056713907936608,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-11,0.00215750262302139,-0.0006754995841822264,-0.003112687775413403,-0.00039629816393405015,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-04-12,-0.01883766846620838,-0.014313954287674235,-0.012669322862265298,-0.014685945712810011,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
