Date,EWU,^FTAS,^FTMC,^FTSE,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_QoQ,UK_GDP_YoY,Is_Holiday
2011-04-15,0.0005447959529980562,0.005485987681408844,0.00654991715395048,0.005399275020464556,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-18,-0.017973833026161845,-0.02015881110746809,-0.016131275042328252,-0.02099731526746995,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-19,0.004436965250868452,0.004820166995514796,0.007284105261180951,0.0045654766088572,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-20,0.025400352032780793,0.02026262961268066,0.01569831917685427,0.021265394431048357,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-21,0.008077635673288563,3.2038015527202646e-06,0.004618822730592109,-0.0006641980854036333,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-25,-0.003205090398662347,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-26,0.00857414289079439,0.007876794377080554,0.00498712083527364,0.008490786320822563,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-27,0.013815542705536421,0.00018103385449363962,0.002156773597023376,-0.00019766485164152137,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-28,-0.0015726699367785146,0.00174629228768719,0.009995829392601907,0.00028010068497130725,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-04-29,0.0031495697912247156,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,True
2011-05-02,-0.001046620563846301,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,True
2011-05-03,-0.018334055668353888,0.0018446950759045677,7.486445144833098e-05,0.0021417157134635545,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
